605	1909
139	4414
1481	3713
2801	5179
2734	856
3010	673
2130	4023
1851	3013
2646	2590
3542	5273
5190	1620
4689	3839
3429	1311
4127	659
46	5022
1137	3870
292	661
4481	617
3807	998
409	1829
4346	3589
3603	934
2878	4887
4824	4756
4712	1006
1146	4237
5061	3676
3386	5261
5076	3227
3016	5283
1410	4345
2390	2312
3607	3444
3659	3749
3537	4187
3328	4985
5228	3176
4146	4712
1965	305
3043	1651
2947	390
435	256
3226	1065
1895	4212
2545	3021
883	5262
4146	164
799	3674
599	2712
4926	2797
2097	963
43	4247
4749	3237
2578	3142
3281	5219
8	5173
3883	4852
2190	2315
3553	4927
4023	911
1159	2262
194	1412
4162	4113
1047	1584
2629	480
4350	1911
4393	538
3815	208
4328	4618
285	3875
3632	3920
5139	3736
4704	4438
1889	5
3391	2249
2910	136
4871	55
2850	2903
3323	1903
1551	3057
3240	794
2985	5061
2750	1130
4715	4095
1037	3554
944	5045
3013	2566
3274	1990
2733	2672
3004	175
1496	3237
5050	2181
638	2885
5031	1037
103	1687
446	4328
4951	3667
3705	3990
993	4023
2210	1389
426	3553
4202	2168
4065	3839
601	534
2508	3242
1069	2230
1099	981
2334	2809
1480	3986
3865	3508
3167	2552
3873	3290
5076	4287
1898	5153
2698	2690
2633	4831
1718	5050
1212	2910
1145	3524
2567	3629
1606	5142
713	101
4965	720
4449	2369
1964	1298
3343	3646
3054	3697
2766	4337
4250	864
4310	2649
3700	514
1163	2797
2110	2186
5117	3390
3381	4678
2598	1637
4796	1631
507	5272
401	839
3362	766
309	206
605	3721
4034	2727
2622	4600
2351	935
2671	974
317	1883
4817	1221
3953	4471
2120	1291
479	430
2282	461
1244	625
3856	207
2734	3523
662	2586
5173	4570
3992	460
326	5125
1311	3617
3341	1494
3117	1159
992	1472
3211	3351
3106	2014
2004	231
2914	2499
132	1389
1558	224
2030	1704
901	1572
3483	2213
1801	4113
1221	4447
1997	3280
744	3010
948	1785
5265	493
5275	666
549	817
128	3517
3921	4892
2183	1809
1948	3915
749	2394
2544	2388
3665	3136
528	1417
1991	3196
933	647
4900	1674
713	1443
4414	4288
3577	2282
1447	944
3709	1801
3357	4123
4328	3397
80	5229
2262	4588
4139	2386
1043	911
4315	3709
5197	4663
1819	4761
4940	4471
3904	4961
3052	3251
929	4631
370	4817
3811	2205
274	4924
2029	4392
1360	3537
1399	2160
1107	3026
2856	2861
3989	3834
3709	602
892	1395
1567	2315
4749	3295
4978	2314
5162	4672
1418	5053
7	2166
622	2337
4474	1924
5047	843
2780	4824
1486	1248
783	3638
1893	4244
5293	371
274	2439
274	2427
2272	4581
5134	781
1575	4561
2096	1741
4500	3212
2976	2148
2757	2302
1989	1279
3465	4165
4968	2791
350	3606
3680	4422
18	731
2168	3536
417	3709
1016	1955
3713	3594
3983	1265
895	1303
2859	3193
1501	5019
1158	1822
4259	2425
3119	1515
2649	1496
3397	3664
3082	1247
2412	961
4923	4112
3703	1501
4548	2537
1328	3543
348	2928
2017	274
31	5244
395	3632
4965	2249
1828	2701
3223	2413
2788	2096
2593	3242
5250	3170
4406	3397
4174	3386
4967	91
1903	2013
879	4071
3465	653
4943	3225
1965	4934
99	2049
4993	4275
2989	993
546	149
643	3844
3018	1253
2309	1310
3893	3897
633	5163
297	3322
1790	3062
2004	4284
905	1010
4516	4779
5199	3609
5141	60
4037	4641
1193	3015
1125	4714
4374	3422
1725	762
3933	262
3057	4699
4449	2289
3680	2312
3744	382
2183	421
4354	340
2055	5063
2037	2413
2833	5050
1263	4043
3040	2088
2928	3063
1598	2646
1534	3332
4976	1485
3993	4410
4214	779
2822	1166
1016	1839
3975	2226
3908	2882
2459	5211
1308	1856
4857	3236
176	4410
4931	3088
4069	5109
3317	747
3679	3164
3106	2041
1532	1369
4255	446
